trial,target_g,time_s,raw,voltage
14,150,1.793,9522,0.4795
14,150,1.844,8802,0.4432
14,150,1.895,8129,0.4093
14,150,1.946,6929,0.3489
14,150,1.998,6705,0.3376
14,150,2.049,6913,0.3481
14,150,2.100,9474,0.4771
14,150,2.151,10706,0.5391
14,150,2.203,9938,0.5004
14,150,2.254,8498,0.4279
14,150,2.305,7393,0.3723
14,150,2.356,6033,0.3038
14,150,2.408,800,0.0403
14,150,2.459,272,0.0137
14,150,2.510,176,0.0089
14,150,2.562,352,0.0177
14,150,2.613,272,0.0137
14,150,2.664,896,0.0451
14,150,2.715,304,0.0153
14,150,2.766,720,0.0363
14,150,2.817,320,0.0161
14,150,2.868,352,0.0177
14,150,2.919,320,0.0161
14,150,2.971,192,0.0097
15,150,0.000,23461,1.1814
15,150,0.051,23989,1.2080
15,150,0.102,24662,1.2418
15,150,0.153,22821,1.1491
15,150,0.204,23125,1.1645
15,150,0.256,23349,1.1757
15,150,0.307,23941,1.2055
15,150,0.358,23205,1.1685
15,150,0.409,23253,1.1709
15,150,0.460,21733,1.0944
15,150,0.511,21781,1.0968
15,150,0.562,24037,1.2104
15,150,0.614,22949,1.1556
15,150,0.665,21925,1.1040
15,150,0.716,23061,1.1612
15,150,0.767,18564,0.9348
15,150,0.819,22245,1.1201
15,150,0.870,21205,1.0678
15,150,0.921,22325,1.1242
15,150,0.972,23093,1.1628
15,150,1.024,21013,1.0581
15,150,1.075,20020,1.0081
15,150,1.126,18980,0.9557
15,150,1.177,21461,1.0807
15,150,1.229,22421,1.1290
15,150,1.280,21765,1.0960
15,150,1.331,22933,1.1548
15,150,1.382,18580,0.9356
15,150,1.434,18516,0.9324
15,150,1.485,21573,1.0863
15,150,1.536,21781,1.0968
15,150,1.587,22277,1.1218
15,150,1.639,22549,1.1354
15,150,1.690,23717,1.1943
15,150,1.741,23909,1.2039
15,150,1.792,21733,1.0944
15,150,1.844,24357,1.2265
15,150,1.895,24549,1.2362
15,150,1.946,23717,1.1943
15,150,1.997,22437,1.1298
15,150,2.049,22405,1.1282
15,150,2.100,22421,1.1290
15,150,2.151,20068,1.0105
15,150,2.202,23269,1.1717
15,150,2.254,22661,1.1411
15,150,2.305,23605,1.1886
15,150,2.356,21669,1.0911
15,150,2.407,22629,1.1395
15,150,2.459,23109,1.1636
15,150,2.510,23653,1.1910
15,150,2.561,15587,0.7849
15,150,2.612,19636,0.9888
15,150,2.664,16580,0.8349
15,150,2.715,19652,0.9896
15,150,2.766,19652,0.9896
15,150,2.817,21829,1.0992
15,150,2.869,23621,1.1894
15,150,2.920,21973,1.1064
15,150,2.971,23381,1.1773
16,200,0.000,39353,1.9816
16,200,0.051,40457,2.0372
16,200,0.103,39993,2.0138
16,200,0.154,39481,1.9881
16,200,0.205,40505,2.0396
16,200,0.256,40265,2.0275
